Category Won,Song,Artist
Record of the Year,Not Like Us,Kendrick Lamar
Song of the Year,Not Like Us,"Kendrick Lamar, songwriter (Kendrick Lamar)"
Best Pop Solo Performance,Espresso,Sabrina Carpenter
Best Pop Duo/Group Performance,Die With A Smile,Lady Gaga & Bruno Mars
Best Dance/Electronic Recording,Neverender,Justice & Tame Impala
Best Pop Dance Recording,Von Dutch,Charli xcx
Best Remixed Recording,Espresso (Mark Ronson x FNZ Working Late Remix),"FNZ & Mark Ronson, remixers (Sabrina Carpenter)"
Best Rock Performance,Now And Then,The Beatles
Best Metal Performance,Mea Culpa (Ah! Ca ira!),"Gojira, Marina Viotti & Victor Le Masne"
Best Rock Song,Broken Man,"Annie Clark, songwriter (St. Vincent)"
Best Alternative Music Performance,Flea,St. Vincent
Best R&B Performance,Made For Me (Live On BET),Muni Long
Best Traditional R&B Performance,That's You,Lucky Daye
Best R&B Song,Saturn,"Rob Bisel, Carter Lang, Solana Rowe, Jared Solomon & Scott Zhang, songwriters (SZA)"
Best Rap Performance,Not Like Us,Kendrick Lamar
Best Melodic Rap Performance,3:AM,Rapsody feat. Erykah Badu
Best Rap Song,Not Like Us,"Kendrick Lamar, songwriter (Kendrick Lamar)"
Best Jazz Performance,Twinkle Twinkle Little Me,Samara Joy feat. Sullivan Fortner
Best Country Solo Performance,It Takes A Woman,Chris Stapleton
Best Country Duo/Group Performance,II MOST WANTED,Beyonce feat. Miley Cyrus
Best Country Song,The Architect,"Shane McAnally, Kacey Musgraves & Josh Osborne, songwriters (Kacey Musgraves)"
Best American Roots Performance,Lighthouse,Sierra Ferrell
Best Americana Performance,American Dreaming,Sierra Ferrell
Best American Roots Song,American Dreaming,"Sierra Ferrell & Melody Walker, songwriters (Sierra Ferrell)"
Best Gospel Performance/Song,One Hallelujah,"Tasha Cobbs Leonard, Erica Campbell & Israel Houghton feat. Jonathan McReynolds & Jekalyn Carr; G. Morris Coleman, Israel Houghton, Kenneth Leonard, Jr., Tasha Cobbs Leonard & Naomi Raine, songwriters"
Best Contemporary Christian Music Performance/Song,That's My King,"CeCe Winans; Taylor Agan, Kellie Gamble, Lloyd Nicks & Jess Russ, songwriters"
Best Global Music Performance,Bemba Colora,Sheila E. feat. Gloria Estefan & Mimy Succar
Best African Music Performance,Love Me JeJe,Tems
"Best Audio Book, Narration and Storytelling Recording",Last Sundays In Plains: A Centennial Celebration,Jimmy Carter
Best Song Written For Visual Media,It Never Went Away [from American Symphony],"Jon Batiste & Dan Wilson, songwriters (Jon Batiste)"
Best Recording Package,BRAT,"Brent David Freaney & Imogene Strauss, art directors (Charli xcx)"
Best Orchestral Performance,Ortiz: Revolucion Diamantina,"Gustavo Dudamel, conductor (Los Angeles"
Best Opera Recording,Saariaho: Adriana Mater,"Esa-Pekka Salonen, conductor; Fleur Barron, Axelle Fanyo, Nicholas Phan & Christopher Purves; Jason O'Connell, producer (San Francisco Symphony; San Francisco Symphony Chorus; Timo Kurkikangas)"
Best Choral Performance,Ochre,"Donald Nally, conductor (The Crossing)"
Best Chamber Music/Small Ensemble Performance,Rectangles And Circumstance,Caroline Shaw & So Percussion
